areaCode,areaName,areaType,date,cumDailyNsoDeathsByDeathDate,hospitalCases,newCasesBySpecimenDate
E92000001,England,nation,2021-09-14,138899,6344,22142
E92000001,England,nation,2021-09-13,138779,6424,24639
E92000001,England,nation,2021-09-12,138705,6253,17509
E92000001,England,nation,2021-09-11,138603,6206,16602
E92000001,England,nation,2021-09-10,138496,6400,20527
E92000001,England,nation,2021-09-09,138387,6254,23904
E92000001,England,nation,2021-09-08,138252,6302,25066
E92000001,England,nation,2021-09-07,138139,6244,27349
E92000001,England,nation,2021-09-06,138015,6375,32371
E92000001,England,nation,2021-09-05,137890,6167,22974
E92000001,England,nation,2021-09-04,137774,6043,22966
E92000001,England,nation,2021-09-03,137660,6195,28111
E92000001,England,nation,2021-09-02,137538,6186,29981
E92000001,England,nation,2021-09-01,137436,6236,30936
E92000001,England,nation,2021-08-31,137337,6293,32856
E92000001,England,nation,2021-08-30,137241,6002,24403
E92000001,England,nation,2021-08-29,137149,5855,18737
E92000001,England,nation,2021-08-28,137037,5756,19694
E92000001,England,nation,2021-08-27,136934,5889,23714
E92000001,England,nation,2021-08-26,136822,5893,25899
E92000001,England,nation,2021-08-25,136717,5922,27247
E92000001,England,nation,2021-08-24,136633,5911,27546
E92000001,England,nation,2021-08-23,136531,6000,29665
E92000001,England,nation,2021-08-22,136435,5749,21954
E92000001,England,nation,2021-08-21,136328,5575,22147
E92000001,England,nation,2021-08-20,136236,5576,25003
E92000001,England,nation,2021-08-19,136130,5554,28392
E92000001,England,nation,2021-08-18,136033,5514,30692
E92000001,England,nation,2021-08-17,135946,5437,30334
E92000001,England,nation,2021-08-16,135861,5429,30151
E92000001,England,nation,2021-08-15,135786,5115,20841
E92000001,England,nation,2021-08-14,135711,4973,20921
E92000001,England,nation,2021-08-13,135627,5076,24464
E92000001,England,nation,2021-08-12,135548,5029,27070
E92000001,England,nation,2021-08-11,135460,5073,28494
E92000001,England,nation,2021-08-10,135385,5096,26983
E92000001,England,nation,2021-08-09,135314,5098,27631
E92000001,England,nation,2021-08-08,135240,4939,19707
E92000001,England,nation,2021-08-07,135175,4817,19504
E92000001,England,nation,2021-08-06,135086,4879,24297
E92000001,England,nation,2021-08-05,135003,4894,27516
E92000001,England,nation,2021-08-04,134916,4944,28239
E92000001,England,nation,2021-08-03,134838,5116,26412
E92000001,England,nation,2021-08-02,134768,5309,25976
E92000001,England,nation,2021-08-01,134693,5090,18218
E92000001,England,nation,2021-07-31,134620,5057,18005
E92000001,England,nation,2021-07-30,134548,5111,21588
E92000001,England,nation,2021-07-29,134462,5056,24792
E92000001,England,nation,2021-07-28,134392,5182,26350
E92000001,England,nation,2021-07-27,134323,5163,25432
E92000001,England,nation,2021-07-26,134264,5055,25927
E92000001,England,nation,2021-07-25,134196,4725,19232
E92000001,England,nation,2021-07-24,134136,4476,19850
E92000001,England,nation,2021-07-23,134078,4401,24013
E92000001,England,nation,2021-07-22,134013,4230,27169
E92000001,England,nation,2021-07-21,133940,4063,31045
E92000001,England,nation,2021-07-20,133892,3894,35118
E92000001,England,nation,2021-07-19,133840,3813,42437
E92000001,England,nation,2021-07-18,133766,3546,32494
E92000001,England,nation,2021-07-17,133708,3442,34638
E92000001,England,nation,2021-07-16,133659,3367,50138
E92000001,England,nation,2021-07-15,133616,3241,56365
E92000001,England,nation,2021-07-14,133573,3110,49281
E92000001,England,nation,2021-07-13,133537,2970,42317
E92000001,England,nation,2021-07-12,133498,2798,39642
E92000001,England,nation,2021-07-11,133466,2564,26939
E92000001,England,nation,2021-07-10,133439,2429,24927
E92000001,England,nation,2021-07-09,133405,2352,28457
E92000001,England,nation,2021-07-08,133366,2209,29279
E92000001,England,nation,2021-07-07,133337,2144,33511
E92000001,England,nation,2021-07-06,133309,1998,30962
E92000001,England,nation,2021-07-05,133287,1888,29527
E92000001,England,nation,2021-07-04,133267,1744,21320
E92000001,England,nation,2021-07-03,133244,1636,20208
E92000001,England,nation,2021-07-02,133217,1611,21741
E92000001,England,nation,2021-07-01,133191,1560,23614
E92000001,England,nation,2021-06-30,133166,1500,23405
E92000001,England,nation,2021-06-29,133143,1445,22677
E92000001,England,nation,2021-06-28,133122,1465,22878
E92000001,England,nation,2021-06-27,133109,1331,15041
E92000001,England,nation,2021-06-26,133089,1276,13181
E92000001,England,nation,2021-06-25,133079,1284,14519
E92000001,England,nation,2021-06-24,133059,1274,14707
E92000001,England,nation,2021-06-23,133037,1255,14396
E92000001,England,nation,2021-06-22,133031,1301,13218
E92000001,England,nation,2021-06-21,133019,1290,12407
E92000001,England,nation,2021-06-20,133008,1168,8006
E92000001,England,nation,2021-06-19,132989,1143,6940
E92000001,England,nation,2021-06-18,132972,1170,8506
E92000001,England,nation,2021-06-17,132958,1122,9200
E92000001,England,nation,2021-06-16,132951,1057,9155
E92000001,England,nation,2021-06-15,132939,1030,8867
E92000001,England,nation,2021-06-14,132924,993,8690
E92000001,England,nation,2021-06-13,132913,947,5909
E92000001,England,nation,2021-06-12,132904,915,5257
E92000001,England,nation,2021-06-11,132894,884,6337
E92000001,England,nation,2021-06-10,132883,906,6530
E92000001,England,nation,2021-06-09,132867,876,6719
E92000001,England,nation,2021-06-08,132853,879,6428
E92000001,England,nation,2021-06-07,132840,860,6597
E92000001,England,nation,2021-06-06,132835,807,4610
E92000001,England,nation,2021-06-05,132823,782,3860
E92000001,England,nation,2021-06-04,132819,805,4738
E92000001,England,nation,2021-06-03,132806,779,4973
E92000001,England,nation,2021-06-02,132792,801,4919
E92000001,England,nation,2021-06-01,132782,776,4334
E92000001,England,nation,2021-05-31,132773,773,3064
E92000001,England,nation,2021-05-30,132763,755,2533
E92000001,England,nation,2021-05-29,132756,748,2393
E92000001,England,nation,2021-05-28,132747,743,2828
E92000001,England,nation,2021-05-27,132736,742,2963
E92000001,England,nation,2021-05-26,132728,745,3068
E92000001,England,nation,2021-05-25,132716,765,2689
E92000001,England,nation,2021-05-24,132709,797,2618
E92000001,England,nation,2021-05-23,132696,756,1842
E92000001,England,nation,2021-05-22,132682,730,1535
E92000001,England,nation,2021-05-21,132679,766,1800
E92000001,England,nation,2021-05-20,132663,749,1914
E92000001,England,nation,2021-05-19,132657,757,2174
E92000001,England,nation,2021-05-18,132654,749,2141
E92000001,England,nation,2021-05-17,132645,798,2244
E92000001,England,nation,2021-05-16,132634,801,1522
E92000001,England,nation,2021-05-15,132624,810,1262
E92000001,England,nation,2021-05-14,132611,818,1459
E92000001,England,nation,2021-05-13,132602,845,1655
E92000001,England,nation,2021-05-12,132592,907,1768
E92000001,England,nation,2021-05-11,132579,921,1746
E92000001,England,nation,2021-05-10,132560,944,2175
E92000001,England,nation,2021-05-09,132553,933,1849
E92000001,England,nation,2021-05-08,132542,948,1202
E92000001,England,nation,2021-05-07,132525,973,1560
E92000001,England,nation,2021-05-06,132510,976,1808
E92000001,England,nation,2021-05-05,132496,1032,2041
E92000001,England,nation,2021-05-04,132476,1093,2044
E92000001,England,nation,2021-05-03,132462,1096,1694
